gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,retina,salivary gland,skin,small intestine,spleen,testis,thymus gland,thyroid gland,trachea,uterus
RAPGEF4,14.6766,1.4601,30.4827,7.7204,6.0775,8.5593,8.9773,14.0344,7.5556,2.2189,5.7498,1.017,2.0754,1.3591,2.0224,9.73,3.2215,7.0628,2.3204,2.4805,3.0998,1.2428,2.9866,0.8039,1.754
SCYL2,3.1834,13.2617,2.78825,7.5258,10.0646,8.3756,8.3052,8.236,7.2119,4.6313,3.4107,3.5065,4.4034,4.5515,7.4274,3.4256,1.1962,5.3099,3.7147,4.8173,4.9575,4.1437,4.9972,2.3497,2.2444
UGT2B28,1.5442,1.9733,1.3559,214.3223,4.4225,44.3631,931.2075,2296.8151,3.6444,1.9706,3.6477,2.557,57.408,2.1276,1.6029,1.3466,33.8516,2.0695,24.7818,2.4728,2.8054,2.7137,5.5292,11.9419,3.0534
MXD3,3.2193,15.9478,2.0445,5.0632,12.4159,1.679,2.9418,5.7002,3.5746,1.0863,8.4356,14.8877,6.338,8.3471,3.7913,4.5394,5.5093,2.1845,12.4065,5.3371,3.1543,60.5145,5.0163,6.4891,6.5001
TAS2R42,0.8014,0.6921,0.7333,0.8496,0.8197,0.5106,0.8846,1.1709,0.8683,2.5642,0.6269,0.686,1.462,1.1475,1.0312,0.4602,0.8495,0.4838,0.5074,1.3387,0.7339,1.0617,0.8444,1.1577,0.6847
TNK2,7.4624,12.4655,11.446,6.2325,5.9732,9.7489,5.1432,6.3825,7.1516,14.1313,5.4809,13.8953,5.6325,6.2123,7.1015,6.961,9.9376,8.7843,10.081,8.1713,4.2578,8.1277,10.0139,11.7821,6.9331
NOS1AP,3.7252,3.7959,4.5762,2.8517,3.4929,2.3172,1.1643,4.3037,2.8459,4.3039,2.3235,2.3221,5.5146,10.0341,2.8035,2.4752,0.6169,3.0152,2.4149,1.7251,3.6071,1.1593,2.1435,2.6747,4.0792
TUBB4B,364.2985,201.9808,598.92465,223.6204,673.8708,349.3529,309.4001,398.5392,295.7055,364.0899,308.7244,507.8155,202.8407,526.1168,465.6893,852.7628,395.9372,792.8753,998.246,265.3664,3084.6982,528.6591,318.5653,819.6968,357.435
TOMM5,158.155,57.8388,106.26415,119.4747,126.4106,100.0054,149.1644,122.8832,135.1565,174.3949,121.5899,126.1182,218.7477,68.7789,117.9097,105.4905,156.6598,86.1233,161.5061,182.3448,124.474,133.5406,146.4555,86.4842,123.5437
SFXN5,9.6117,8.4382,24.39175,4.8144,3.2403,2.8815,6.6931,11.4849,3.1209,8.2665,2.3154,3.5746,1.404,4.3901,2.051,6.8618,2.5167,9.5213,5.7772,4.7891,3.8762,7.765,2.9329,2.8202,3.7233
