gene_symbol,adrenal gland,blood,bone marrow,brain,cecum,ganglia,heart,kidney,liver,lung,lymph nodes,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,salivary gland,skin,testis,thymus gland,thyroid gland,tongue,trachea,uterus
STX7,31.76855,122.5145,47.918,77.564652631579,67.9158,61.481975,43.6917,59.7292,27.6156,28.3601,64.7022,45.4719,51.7389,77.2767,39.5101,94.1055,31.4722,54.0005,44.0903,30.5957666666667,33.7915,56.9989,52.1525,57.3468,61.3616
SPR,167.9995,69.1699,80.1966,78.2655736842105,92.3629,88.6235,125.07125,248.3102,391.9218,221.869,73.9157,116.79205,85.8993,95.8321,209.3277,115.6847,168.0095,61.1432,72.8396,85.0469333333333,70.9961,178.0029,85.3137,98.3815,86.1076
VPS16,26.3743,44.8725,13.03,28.9776315789474,35.0589,29.431675,32.96885,18.1285,34.5921,34.9425,41.679,41.41665,31.2319,34.777,37.93305,35.7244,41.3262,35.8059,38.1572,30.4703,43.5812,34.9651,37.4027,18.3989,34.1251
PSEN1,64.39415,176.4529,91.077,88.8938368421053,65.9115,64.38255,46.45365,80.6666,45.3868,56.9098,70.4632,69.9915,68.846,73.1904,60.3526,137.2435,56.9507,62.0837,62.5,86.8647,78.2826,72.9931,64.8695,68.9242,66.4921
CHD2,71.9071,58.1402,53.0354,50.5017473684211,73.8549,99.99535,57.7216,66.2979,64.3548,38.3246,36.0219,62.12035,107.3109,56.818,23.76345,33.0879,26.4435,57.152,75.2852,58.5576,46.311,49.7434,74.6694,46.763,71.2883
EIF3B,169.29225,117.8027,234.0969,121.107621052632,96.2327,85.360225,95.9496,109.6841,195.1484,282.2437,174.626,218.6143,124.2991,160.1644,163.28515,215.4114,235.6764,110.4438,143.114,230.623933333333,226.6124,155.9028,156.8695,134.2386,127.8753
MRPL19,7.7594,8.7005,2.7068,11.9861157894737,9.2806,3.708175,9.43565,19.5077,13.7198,2.1158,7.2377,13.76225,15.294,3.982,14.6067,5.4819,17.9879,2.3882,2.0774,13.7628666666667,9.4109,32.2458,2.5392,10.5881,18.4179
MPV17,37.8959,15.9166,18.2181,34.7780052631579,12.4331,15.682575,45.43155,29.6158,25.6043,40.3923,25.207,60.0539,9.9123,39.047,56.7011,31.7727,28.413,12.088,7.8751,16.8614666666667,57.209,10.9375,14.6913,17.2358,19.8102
PMM1,55.5091,33.112,8.4257,87.4441578947369,12.1143,12.3232,41.32675,83.6423,77.2372,146.5021,16.9711,39.4699,51.1946,24.8301,18.4803,20.8827,52.5456,5.1852,33.9081,74.65,51.9193,31.9443,21.8556,6.9401,46.0094
CDK10,22.718,20.3163,18.4038,24.2765421052632,7.2438,13.29,26.6326,27.9028,75.0079,21.9646,25.5883,22.8314,10.8016,18.155,31.9102,26.9669,25.7914,24.4158,11.2807,17.4847,23.1343,55.9618,14.6497,14.6344,16.3571
PLEK,47.6519,449.0676,337.3591,42.7505052631579,56.3033,66.91505,79.5126,37.0599,87.6877,49.6969,166.9446,71.3224,45.7095,146.5619,34.4697,56.4657,25.3406,57.79,67.8398,42.3708333333333,75.2873,37.7507,41.9144,52.2477,42.3577
SLCO2B1,55.5624,16.5636,41.2836,55.6892105263158,47.2854,55.86335,54.3092,53.2235,417.6102,176.2246,90.45,30.98925,59.6121,69.8721,42.32205,150.0673,25.1655,45.871,43.0201,35.4341666666667,57.5984,38.6692,44.5726,47.4197,38.4523
