gene_symbol,adipose tissue,adrenal gland,brain,breast,colon,heart,kidney,liver,lung,lymph nodes,muscle,ovary,prostate,testis,thyroid gland
GABARAPL2,77.5227,47.7821,187.9312,82.0479,97.7409,230.331,94.8232,78.8694,144.4796,93.6563,146.3792,67.9145,87.7323,81.587,81.882
MYOC,36.0882,6.2665,0.2054,62.6155,44.4277,21.1799,1.2003,0.2629,39.1299,39.3356,13.9409,1.372,60.2683,14.834,64.7612
SH3YL1,2.6732,6.2665,11.2964,11.8754,7.4046,2.6475,19.2047,5.258,15.05,7.4925,1.6264,11.6621,19.0722,8.1587,11.1657
FAM136A,21.3856,25.8493,19.512,29.1486,37.0231,26.4748,40.81,55.2086,11.0366,27.1603,11.6174,24.6962,30.5156,20.0259,31.264
VCL,100.2449,76.7646,15.4042,93.9233,151.0542,172.0864,78.0191,23.6608,118.393,44.0184,130.1149,71.3445,205.9801,71.9449,63.2725
DEPDC1B,0.5346,0.7833,0.5135,0.5398,0.7405,0.2647,3.6009,0.7887,0.602,0.6556,0,0.4116,0.2289,10.3838,2.2331
DAPK2,9.3562,2.3499,3.0808,7.557,1.4809,7.9424,0.8402,0.7887,5.0167,2.8097,34.8522,0.686,1.5258,0.7417,28.2865
NSMAF,33.415,26.6326,11.2964,25.9099,23.6948,21.1799,13.2032,7.8869,12.04,23.4141,18.5878,23.3242,22.1238,14.0923,24.5646
ADSS,50.7908,43.0822,71.8863,36.7057,45.9086,15.8849,50.4123,34.1767,47.1565,27.1603,16.2644,43.9043,48.8249,77.8785,55.0843
STAP1,0.6683,47.7821,0.3081,0.6477,1.4809,0,27.6067,0.2629,6.02,32.7797,0,0.4802,1.5258,2.9668,0.3722
TIMP2,509.2442,164.4956,148.9072,386.489,482.781,148.259,103.2252,65.7245,376.2489,268.7935,118.4975,648.2743,387.5478,392.3591,90.0702
RFC1,29.4052,23.4994,32.8623,25.9099,29.6185,26.4748,22.8056,26.2898,21.0699,22.4775,23.2348,32.9282,28.2269,26.7012,37.9635
TBC1D23,33.415,18.7995,22.5928,42.1035,32.5803,37.0648,34.8085,28.9188,37.1232,25.2872,83.6453,30.8702,32.0413,29.668,34.986
CUL3,26.732,23.4994,32.8623,23.7507,25.1757,37.0648,28.807,26.2898,20.0666,18.7313,88.2922,28.1262,22.1238,83.0704,42.4298
MYOM2,0.6683,1.5666,6.1617,12.9549,1.4809,1016.6333,2.4006,2.1032,4.0133,0.7493,130.1149,1.372,0.7629,11.1255,26.0534
OTC,0.9356,18.7995,0.7189,0.4318,2.9618,0.5295,0.12,52.5796,0.602,5.6194,0,0.343,1.5258,1.4834,0.3722
CYP46A1,0.5346,1.5666,15.4042,2.1592,0.4443,1.3237,0.6001,0.7887,0.5017,0.9366,0.4647,2.058,0.7629,0.7417,0.7444
SLC18A1,0.1337,0.235,0.2054,0.3239,0.2962,0,0.12,0,0.1003,0.1873,0,0.2058,0.3814,0.2225,0
USP2,1.3366,1.5666,26.7006,4.3183,1.3328,84.7194,73.2179,7.8869,6.02,2.8097,139.4088,6.86,4.5773,43.7603,24.5646
CASR,0,0.0783,0.3081,0,0,0,26.4065,0.7887,0.2007,0.0937,0,0.6174,0.534,0.1483,5.9551
TUBG2,16.0392,17.2329,84.2096,26.9895,20.7329,10.5899,18.0044,5.258,18.0599,12.1753,6.9704,17.8361,25.1753,13.3506,16.3764
RPL26L1,13.366,21.9328,16.4311,18.3528,13.3283,31.7698,32.4079,70.9825,21.0699,18.7313,44.1461,19.2081,25.1753,63.7862,17.8652
FLT4,21.3856,43.0822,0.5135,5.3979,5.9237,5.295,6.0015,7.8869,11.0366,17.7947,0.9294,4.116,4.5773,4.4502,10.4213
NSUN2,21.3856,39.1656,16.4311,21.5916,14.8092,37.0648,26.4065,52.5796,13.0433,28.0969,48.7931,28.8122,19.8351,22.9927,30.5197
FBXO42,8.0196,8.6164,9.2425,9.7162,7.4046,23.8273,8.4021,7.8869,8.0266,13.1119,34.8522,13.0341,12.2062,8.1587,10.4213
MFAP3,48.1176,12.533,8.2156,18.3528,35.5422,21.1799,14.4035,10.5159,19.0633,28.0969,27.8818,14.4061,12.9691,8.9004,14.1433
MRI1,6.683,9.3998,11.2964,14.0345,7.4046,7.9424,16.8041,15.7739,9.03,23.4141,18.5878,10.9761,17.5465,4.4502,12.6545
METTL1,5.3464,14.0996,3.0808,6.4775,5.9237,5.295,18.0044,13.1449,7.0233,5.6194,20.9113,15.7781,6.866,8.1587,9.677
HOXC8,18.7124,8.6164,0,23.7507,1.3328,0,10.8026,0,0.2007,6.5559,32.5287,37.7303,0.7629,8.1587,0.4466
AGA,13.366,20.3661,17.4581,24.8303,11.8474,13.2374,24.0059,70.9825,17.0566,14.0484,6.9704,15.7781,11.4433,22.251,25.309
PI4K2B,14.7026,15.6663,3.0808,12.9549,8.8855,5.295,20.405,70.9825,19.0633,16.8581,2.3235,13.0341,12.2062,11.1255,20.8427
BOD1L1,20.049,18.0162,20.5389,9.7162,16.2902,15.8849,12.0029,7.8869,7.0233,11.2388,9.2939,15.0921,12.9691,13.3506,15.632
MAT2B,53.464,51.6986,65.7246,47.5014,72.5652,74.1295,69.617,42.0637,81.2698,78.6713,51.1166,47.3343,64.0827,44.502,77.4157
TLL1,13.366,13.3163,2.0539,4.3183,7.4046,0.7942,2.4006,0.2629,4.0133,11.2388,2.0911,1.372,3.8144,2.9668,2.2331
EDC4,9.3562,11.7497,12.3234,6.4775,5.9237,10.5899,9.6023,10.5159,10.0333,15.9216,27.8818,12.3481,10.6804,9.6421,12.6545
TRIO,16.0392,10.9664,15.4042,14.0345,11.8474,15.8849,8.4021,7.8869,10.0333,8.4291,9.2939,14.4061,10.6804,9.6421,11.1657
VCAN,49.4542,14.0996,24.6467,24.8303,41.4659,31.7698,10.8026,5.258,55.1832,26.2238,6.9704,7.5461,19.8351,18.5425,5.9551
CLEC16A,9.3562,6.2665,9.2425,4.3183,2.9618,7.9424,8.4021,10.5159,7.0233,5.6194,16.2644,6.174,3.0516,16.3174,9.677
MSR1,44.1078,5.4832,6.1617,20.512,7.4046,5.295,13.2032,18.4029,62.2065,9.3656,2.3235,10.2901,6.1031,4.4502,3.7219
CDH1,1.3366,5.4832,3.0808,42.1035,50.3514,0.2647,75.6185,92.0143,47.1565,2.8097,0.2323,21.2661,45.0105,11.1255,237.4579
DNAH5,0,0,0.6162,0.3239,0,0,1.2003,5.258,10.0333,0,0,2.744,0.6866,0.7417,0.7444
ZFYVE16,12.0294,10.1831,25.6737,14.0345,11.8474,21.1799,18.0044,13.1449,12.04,10.3022,6.9704,19.2081,15.2578,15.5757,11.9101
RIPOR1,49.4542,41.5156,22.5928,20.512,26.6566,34.4173,27.6067,13.1449,50.1665,33.7163,44.1461,25.3822,25.9382,16.3174,18.6096
C6,26.732,5.4832,0.4108,3.2387,2.9618,142.9641,25.2062,1062.108,18.0599,3.7463,2.0911,45.9623,3.0516,22.9927,5.2107
RAI14,13.366,34.4658,6.1617,6.4775,26.6566,5.295,19.2047,15.7739,33.1099,17.7947,2.3235,18.5221,28.9898,31.8931,7.4438
SOX30,0,0.47,0.1027,0.108,0.1481,0.2647,0.12,0,0,0.4683,0,0.4116,0.3814,69.7198,0.5211
PNKP,10.6928,17.2329,6.1617,7.557,4.4428,5.295,8.4021,10.5159,8.0266,11.2388,11.6174,9.6041,7.6289,8.1587,10.4213
BEST2,0.1337,0.1567,0.1027,0.2159,20.7329,0.2647,0.12,0,0.301,0.1873,0,0.0686,0.0763,0.2967,0.1489
PHLPP2,5.3464,3.9166,10.2695,5.3979,2.9618,2.6475,3.6009,2.629,5.0167,4.6828,1.8588,6.86,3.8144,8.1587,4.4663
SPDL1,4.0098,5.4832,5.1347,3.2387,2.9618,5.295,3.6009,2.629,1.0033,5.6194,2.3235,6.86,3.8144,25.2178,3.7219
STAU2,13.366,8.6164,45.1856,15.1141,16.2902,52.9496,16.8041,15.7739,13.0433,13.1119,27.8818,11.6621,13.732,11.8672,11.1657
PQLC2,6.683,9.3998,5.1347,7.557,4.4428,5.295,6.0015,18.4029,4.0133,7.4925,11.6174,5.488,6.866,8.1587,9.677
CTNS,12.0294,12.533,5.1347,10.7958,7.4046,10.5899,24.0059,23.6608,5.0167,16.8581,23.2348,13.7201,12.2062,18.5425,8.9326
RTN4R,0.401,0.7833,5.1347,0.6477,0.2962,0.2647,0.4801,0.7887,1.0033,0.9366,0,3.43,0.3814,0.7417,0.7444
PHF23,24.0588,29.7659,19.512,20.512,35.5422,21.1799,42.0103,36.8057,27.0899,38.3991,34.8522,38.4163,33.5671,27.4429,23.0758
CDH10,0,0,17.4581,0,0.2962,0,0.2401,0,0.2007,0,0,0.0686,0.4577,0.7417,0.0744
INPP4A,8.0196,10.9664,23.6198,6.4775,10.3665,10.5899,4.8012,2.629,7.0233,14.0484,4.647,7.5461,9.9176,6.6753,4.4663
RAB27B,0.5346,0.6267,17.4581,4.3183,2.9618,0.2647,1.2003,0.7887,9.03,0.9366,0,0.686,7.6289,2.9668,0.0744
PSMA4,50.7908,51.6986,37.997,52.8993,62.1988,47.6547,43.2106,76.2404,43.1432,30.9066,48.7931,45.2763,33.5671,58.5943,57.3174
MYO16,1.3366,0.5483,5.1347,4.3183,0.4443,2.6475,0.12,0.7887,0.1003,0.6556,0.2323,0.1372,0.2289,1.4834,0.3722
LSG1,24.0588,32.1158,20.5389,18.3528,19.252,21.1799,24.0059,39.4347,18.0599,26.2238,37.1757,35.6722,20.598,24.4761,40.941
PARP3,18.7124,13.3163,14.3773,22.6711,10.3665,15.8849,16.8041,15.7739,17.0566,12.1753,6.9704,6.86,19.8351,8.1587,18.6096
TNC,37.4248,127.6799,16.4311,19.4324,91.8172,5.295,60.0147,1.3145,76.2531,76.7981,4.647,4.116,14.4949,12.6089,6.6994
THAP3,5.3464,4.6999,4.1078,5.3979,7.4046,2.6475,4.8012,5.258,8.0266,7.4925,9.2939,4.116,6.866,6.6753,5.9551
RIPOR3,17.3758,19.5828,0.6162,2.1592,5.9237,7.9424,9.6023,7.8869,2.0067,29.0334,1.6264,3.43,4.5773,1.4834,2.9775
TDP1,5.3464,7.8331,4.1078,5.3979,2.9618,2.118,6.0015,2.629,5.0167,7.4925,1.6264,4.116,3.8144,13.3506,2.2331
AIFM2,46.781,7.0498,3.0808,82.0479,11.8474,13.2374,10.8026,21.0318,8.0266,9.3656,9.2939,8.9181,11.4433,4.4502,19.3539
C2orf83,0.2673,0.7833,0.3081,0.8637,0.2962,0,0.2401,0,0,0.1873,0,0.2744,0,0.2967,0.1489
SPATA7,4.0098,2.3499,7.1886,5.3979,5.9237,2.6475,4.8012,1.3145,3.01,2.8097,2.3235,7.5461,6.1031,25.2178,5.9551
MED17,5.3464,6.2665,3.0808,6.4775,4.4428,7.9424,8.4021,2.629,5.0167,11.2388,4.647,8.9181,8.3918,7.417,8.9326
RETSAT,159.0553,25.066,42.1048,599.1658,37.0231,45.0072,68.4167,212.9474,29.0966,34.6528,236.9949,20.5801,43.4847,25.9595,76.6713
CAPG,25.3954,32.8991,13.3503,36.7057,10.3665,2.6475,67.2164,2.629,81.2698,29.0334,23.2348,21.2661,29.7527,14.834,43.1742
AP2S1,60.147,54.0486,54.4282,44.2627,41.4659,42.3597,40.81,123.5621,64.2131,58.0669,69.7044,24.0102,40.4331,34.8599,23.0758
USH2A,0,0.0783,0.2054,0.108,0,0.5295,0.12,2.1032,0.1003,0,0,0.0686,0,0.5192,0.0744
ZPBP,0.1337,0.3133,0,0,0,0,0.12,0,0,0,0,0.1372,0,72.6866,0.1489
TG,0.5346,0.6267,0.1027,0.4318,0.7405,0.2647,2.4006,0,0.1003,0.9366,0,2.744,0.2289,0.7417,5870.941
ADAM28,2.6732,36.8157,3.0808,1.0796,1.4809,0.7942,2.4006,0.5258,4.0133,14.985,0.2323,2.744,3.0516,5.1919,0.7444
BARX2,0.401,2.3499,2.0539,22.6711,1.4809,0.2647,4.8012,0.2629,0.903,1.8731,0,2.744,0.7629,5.9336,11.1657
DCUN1D1,21.3856,13.3163,28.7545,30.2282,19.252,23.8273,25.2062,34.1767,15.05,16.8581,39.4992,21.2661,22.1238,47.4688,23.0758
JADE2,10.6928,24.2827,14.3773,11.8754,13.3283,10.5899,14.4035,5.258,9.03,36.5259,11.6174,21.2661,19.0722,8.9004,23.0758
ZIC2,0,0.3133,7.1886,0.3239,0,0,0.12,0,0,0,0,0,0.1526,1.4834,0.0744
LCP2,21.3856,28.1993,6.1617,8.6366,5.9237,5.295,4.8012,7.8869,37.1232,40.2722,4.647,4.116,6.866,5.1919,2.9775
TRIT1,12.0294,25.8493,15.4042,10.7958,11.8474,23.8273,14.4035,15.7739,9.03,12.1753,6.9704,22.6382,22.1238,18.5425,26.7978
ADRB1,12.0294,0.7833,15.4042,25.9099,2.9618,47.6547,2.4006,0.2629,19.0633,0.5619,0.4647,0.1372,3.8144,0.5192,0.6699
GUCA2B,0,0,0,0,4.4428,0,0,1.8403,0,0,0,0,0,0.0742,0
CUL7,18.7124,10.1831,7.1886,14.0345,10.3665,7.9424,15.6038,7.8869,9.03,14.0484,46.4696,14.4061,14.4949,8.1587,11.1657
CTNNA1,167.0749,78.3313,107.8294,125.2311,142.1686,198.5612,145.2355,92.0143,219.7293,77.7347,132.4384,102.9007,114.4334,58.5943,107.9354
PHKA2,8.0196,7.0498,5.1347,15.1141,4.4428,23.8273,6.0015,39.4347,4.0133,13.1119,6.9704,11.6621,6.866,9.6421,10.4213
CNTLN,6.683,3.9166,3.0808,4.3183,7.4046,2.6475,3.6009,7.8869,2.0067,2.8097,2.3235,8.9181,6.1031,5.9336,3.7219
EPHA3,12.0294,7.8331,3.0808,5.3979,17.7711,10.5899,3.6009,1.5774,4.0133,16.8581,4.647,2.058,24.4125,5.1919,15.632
HSPA5,287.3688,360.3238,150.9611,256.9396,971.4856,333.5828,1143.8795,1650.9996,1179.9165,748.3136,246.2889,417.0908,252.5164,425.7356,234.4803
DSG2,116.2841,6.2665,0.8216,45.3423,45.9086,82.072,61.215,23.6608,23.0766,5.6194,2.3235,24.0102,35.8558,9.6421,58.0618
GEMIN8,8.0196,6.2665,12.3234,10.7958,10.3665,7.9424,16.8041,10.5159,7.0233,9.3656,6.9704,16.4641,10.6804,7.417,15.632
OFD1,10.6928,23.4994,10.2695,12.9549,10.3665,13.2374,19.2047,7.8869,13.0433,15.9216,9.2939,20.5801,12.9691,20.0259,32.7528
GPM6B,16.0392,6.2665,1209.743,16.1937,137.7259,13.2374,27.6067,1.3145,65.2165,28.0969,6.9704,6.86,25.9382,12.6089,8.1882
MAGEC2,0.1337,0.1567,0,0,0,0,0,0,0,0,0,0,0,87.5206,0
PREX2,20.049,7.0498,16.4311,24.8303,11.8474,15.8849,6.0015,2.629,12.04,7.4925,4.647,6.86,6.1031,8.1587,10.4213
WDR37,9.3562,17.2329,28.7545,11.8754,5.9237,23.8273,14.4035,15.7739,10.0333,16.8581,16.2644,10.2901,7.6289,10.3838,17.8652
YTHDC2,12.0294,16.4496,16.4311,11.8754,5.9237,10.5899,12.0029,13.1449,7.0233,9.3656,9.2939,15.7781,9.9176,12.6089,13.3989
CTPS2,12.0294,7.8331,13.3503,11.8754,16.2902,7.9424,8.4021,13.1449,9.03,7.4925,4.647,18.5221,17.5465,6.6753,11.1657
ATP6V1H,22.7222,19.5828,99.6138,24.8303,29.6185,37.0648,62.4153,18.4029,21.0699,21.5409,25.5583,18.5221,28.9898,25.2178,38.7079
POLR2B,45.4444,68.9315,59.5629,45.3423,47.3895,84.7194,48.0117,44.6927,31.1032,45.8916,102.2331,49.3923,45.0105,54.8858,74.4382
FAM214A,21.3856,14.0996,14.3773,24.8303,8.8855,29.1223,13.2032,21.0318,8.0266,24.3506,27.8818,4.802,16.7836,14.0923,24.5646
ARAP2,2.6732,7.8331,29.7814,2.1592,4.4428,2.118,4.8012,5.258,19.0633,12.1753,0.9294,2.058,3.8144,5.9336,27.5421
TPR,42.7712,35.2491,28.7545,28.069,34.0612,47.6547,25.2062,21.0318,24.0799,19.6678,58.087,41.1603,28.9898,74.17,55.8287
CP,14.7026,21.1494,30.8084,3.2387,53.3132,13.2374,4.8012,1445.9391,29.0966,53.3841,2.3235,4.116,16.0207,2.2251,9.677
KIAA0556,4.0098,3.9166,5.1347,3.2387,2.9618,5.295,4.8012,2.3661,5.0167,4.6828,6.9704,7.5461,4.5773,6.6753,8.9326
DTNBP1,21.3856,23.4994,22.5928,11.8754,26.6566,21.1799,13.2032,7.8869,16.0533,17.7947,55.7635,12.3481,24.4125,11.1255,14.1433
XK,0.6683,0.7833,18.485,0.8637,31.0994,39.7122,2.4006,5.258,5.0167,1.8731,4.647,2.058,7.6289,4.4502,3.7219
ANO2,2.6732,0.7833,0.6162,1.0796,2.9618,2.118,1.2003,0,3.01,0.9366,0.9294,0.5488,0.4577,2.2251,0.5211
C12orf4,6.683,10.1831,10.2695,10.7958,7.4046,13.2374,14.4035,7.8869,5.0167,13.1119,16.2644,13.0341,13.732,11.8672,11.9101
SCML1,8.0196,7.8331,7.1886,6.4775,8.8855,7.9424,10.8026,28.9188,23.0766,12.1753,6.9704,12.3481,11.4433,17.8008,5.9551
WWC3,30.7418,20.3661,9.2425,16.1937,23.6948,45.0072,13.2032,10.5159,38.1266,27.1603,13.9409,21.9521,28.9898,15.5757,15.632
ARHGAP6,12.0294,4.6999,3.0808,6.4775,19.252,5.295,10.8026,0.7887,17.0566,6.5559,16.2644,8.9181,19.8351,5.9336,16.3764
FAM184B,0.1337,0.6267,1.0269,0.4318,0.4443,0.2647,0.4801,0.2629,0.1003,0.281,2.3235,0.5488,0.0763,0.2967,0.4466
MAP4,120.2939,44.6488,148.9072,131.7085,122.9166,360.0576,52.8129,31.5478,78.2598,43.0819,903.8337,59.6824,85.4436,65.2696,88.5815
GOPC,26.732,27.4159,50.3204,34.5465,35.5422,45.0072,39.6097,34.1767,16.0533,29.97,30.2052,48.7063,37.3816,35.6016,35.7303
ROS1,0,0,1.0269,0.108,0,0.2647,1.0803,0,10.0333,0.1873,0.2323,0.0686,0.3052,2.2251,0
USP28,10.6928,10.1831,6.1617,10.7958,14.8092,127.0792,14.4035,10.5159,13.0433,18.7313,120.821,21.2661,22.1238,14.0923,35.7303
HDAC9,2.6732,4.6999,6.1617,4.3183,5.9237,7.9424,1.2003,0.7887,3.01,5.6194,2.3235,1.372,4.5773,4.4502,1.4888
TSPAN17,12.0294,12.533,7.1886,12.9549,8.8855,15.8849,15.6038,13.1449,13.0433,20.6044,16.2644,8.2321,7.6289,8.1587,9.677
NOP16,9.3562,21.9328,8.2156,9.7162,16.2902,13.2374,15.6038,31.5478,11.0366,11.2388,46.4696,13.0341,8.3918,10.3838,11.9101
CC2D2A,4.0098,5.4832,5.1347,8.6366,14.8092,5.295,7.2018,2.629,9.03,3.7463,1.8588,10.2901,16.0207,6.6753,6.6994
RRM2B,29.4052,20.3661,55.4551,33.4669,26.6566,60.8921,44.4109,23.6608,76.2531,23.4141,102.2331,27.4402,30.5156,24.4761,110.9129
ZNF800,18.7124,18.7995,10.2695,12.9549,13.3283,13.2374,15.6038,15.7739,18.0599,17.7947,18.5878,16.4641,14.4949,21.5093,16.3764
TNFRSF17,1.3366,28.1993,0.2054,4.3183,0.8886,0.2647,0.4801,0,0.5017,28.0969,0,1.372,0.3052,1.4834,0.1489
SNX29,18.7124,10.1831,12.3234,9.7162,8.8855,7.9424,26.4065,5.258,6.02,10.3022,9.2939,8.9181,9.1547,7.417,8.9326
LMO3,36.0882,2.3499,78.0479,15.1141,45.9086,5.295,4.8012,0.7887,12.04,9.3656,4.647,2.058,79.3405,2.9668,63.2725
MRPS10,62.8202,52.4819,65.7246,73.4113,72.5652,145.6115,66.0161,110.4172,42.1399,41.2088,99.9096,58.9964,55.6909,60.0777,73.6938
GUCA1A,0,0,0.5135,0,0.1481,0,0,0,0.2007,0,0,0,0.0763,7.417,0
RSF1,17.3758,10.9664,20.5389,9.7162,19.252,18.5324,12.0029,5.258,14.0466,12.1753,13.9409,16.4641,16.0207,17.8008,16.3764
VPS13D,20.049,12.533,24.6467,14.0345,16.2902,58.2446,15.6038,13.1449,11.0366,15.9216,44.1461,11.6621,11.4433,11.1255,31.264
CELF2,49.4542,24.2827,60.5898,62.6155,37.0231,68.8345,7.2018,7.8869,42.1399,46.8281,65.0574,24.0102,28.9898,17.0591,15.632
FAM120A,80.1959,56.3985,25.6737,59.3768,96.26,97.9569,86.4211,126.1911,60.1998,67.4325,146.3792,67.9145,62.5569,38.5684,69.2275
R3HDM1,10.6928,9.3998,40.0509,15.1141,8.8855,13.2374,8.4021,10.5159,7.0233,13.1119,23.2348,10.2901,9.1547,17.8008,8.9326
COL9A2,0.5346,3.9166,26.7006,3.2387,1.4809,0.2647,10.8026,0.5258,5.0167,3.7463,0,1.372,9.9176,1.4834,6.6994
KITLG,16.0392,11.7497,21.5659,18.3528,93.2982,13.2374,78.0191,2.1032,115.383,13.1119,6.9704,16.4641,70.1858,20.0259,17.8652
ERCC8,4.0098,3.9166,4.1078,6.4775,2.9618,7.9424,4.8012,5.258,3.01,3.7463,2.3235,4.802,3.0516,5.9336,5.2107
ADAMTS6,0.1337,0.7833,0.2054,0.3239,0.2962,0.5295,0.4801,0,0.301,0.9366,0.2323,0.4802,2.2887,1.4834,0.2233
H6PD,120.2939,46.9988,9.2425,41.024,26.6566,39.7122,21.6053,194.5445,31.1032,31.8431,104.5566,103.5867,23.6496,20.0259,36.4747
VAMP3,231.2316,110.4471,183.8234,209.4381,146.6114,140.3166,109.2267,68.3535,183.6094,97.4025,153.3497,125.5388,146.4747,96.4209,103.4691
PER3,12.0294,13.3163,20.5389,28.069,14.8092,21.1799,4.8012,7.8869,13.0433,2.8097,18.5878,24.6962,20.598,14.0923,8.1882
UTS2,0,0.235,0,0,0,0,0,0,4.0133,1.8731,0.4647,0.343,0.1526,0.3708,0
TNFRSF9,1.0693,8.6164,0.7189,0.9716,0.2962,0.7942,1.0803,0.7887,2.0067,1.8731,0.2323,0.6174,0.4577,0.5192,0.6699
EPN3,0.5346,0.0783,3.0808,0.7557,1.1847,5.295,7.2018,0.2629,0.903,0,0,7.5461,4.5773,0.7417,0.7444
LTBP1,42.7712,25.8493,14.3773,21.5916,68.1225,116.4892,32.4079,15.7739,78.2598,31.8431,25.5583,43.9043,64.8456,114.9634,14.1433
RCN1,106.9279,66.5816,30.8084,57.2176,87.3745,34.4173,52.8129,76.2404,64.2131,46.8281,27.8818,104.2727,58.7425,54.8858,71.4607
ELN,45.4444,15.6663,5.1347,37.7852,25.1757,10.5899,13.2032,5.258,26.0866,18.7313,4.647,15.7781,12.9691,31.8931,14.8876
RFC2,17.3758,22.7161,15.4042,11.8754,13.3283,10.5899,12.0029,31.5478,18.0599,14.985,30.2052,13.0341,19.8351,11.8672,14.1433
ARID1B,22.7222,16.4496,13.3503,16.1937,16.2902,21.1799,12.0029,7.8869,13.0433,16.8581,37.1757,19.2081,19.0722,12.6089,19.3539
CLPTM1L,32.0784,40.7323,19.512,53.9789,31.0994,18.5324,50.4123,149.8519,36.1199,54.3206,18.5878,26.0682,22.8867,31.8931,45.4073
NEDD4L,8.0196,1.5666,26.7006,15.1141,22.2138,18.5324,30.0073,5.258,24.0799,3.7463,16.2644,4.802,14.4949,7.417,16.3764
FOXP3,0.2673,5.4832,0.7189,0.6477,0.1481,0.2647,0.3601,1.0516,0.8027,8.4291,0.4647,0.2744,0.1526,2.2251,0.5211
PPP1R3F,2.6732,4.6999,26.7006,2.1592,2.9618,15.8849,2.4006,1.5774,3.01,9.3656,23.2348,6.174,5.3402,4.4502,6.6994
HEXB,74.8495,43.0822,17.4581,59.3768,79.9699,90.0144,52.8129,99.9012,81.2698,59.94,58.087,55.5664,60.2683,40.0518,63.2725
PTCD2,2.6732,3.1333,4.1078,3.2387,2.9618,7.9424,3.6009,5.258,1.0033,2.8097,4.647,4.116,5.3402,2.9668,3.7219
NEXMIF,1.0693,0.47,7.1886,0.5398,1.4809,0.2647,2.4006,0.2629,0.4013,0.9366,0.2323,2.058,0.7629,0.7417,0.7444
JKAMP,17.3758,21.9328,30.8084,29.1486,19.252,26.4748,37.2091,47.3216,21.0699,23.4141,20.9113,24.6962,20.598,25.2178,26.0534
DKK3,25.3954,38.3823,562.7667,24.8303,99.2219,534.7915,34.8085,7.8869,215.716,50.5744,11.6174,52.1363,36.6187,68.9781,17.8652
ARHGEF5,2.6732,0.7833,0.6162,4.3183,2.9618,0.5295,8.4021,5.258,5.0167,0.9366,0.2323,2.058,2.2887,1.4834,7.4438
NFE2L3,14.7026,19.5828,5.1347,7.557,5.9237,10.5899,12.0029,7.8869,16.0533,15.9216,2.3235,5.488,7.6289,4.4502,4.4663
MCUR1,14.7026,12.533,27.7276,22.6711,14.8092,23.8273,30.0073,34.1767,17.0566,17.7947,23.2348,8.9181,15.2578,14.834,18.6096
LIMA1,68.1666,34.4658,10.2695,127.3902,57.756,21.1799,49.212,18.4029,81.2698,50.5744,9.2939,45.9623,59.5054,25.9595,23.0758
LETMD1,36.0882,23.4994,30.8084,30.2282,34.0612,13.2374,24.0059,21.0318,19.0633,20.6044,27.8818,19.2081,32.0413,16.3174,22.3315
SLC4A8,0.5346,1.5666,24.6467,0.7557,0.5924,0.2647,2.4006,0.2629,2.0067,0.4683,0,4.116,0.3052,5.1919,0.3722
LAMC3,0.802,1.5666,2.0539,0.5398,0.7405,0.5295,9.6023,2.629,17.0566,0.6556,0.2323,1.372,10.6804,51.919,1.4888
PTGER3,60.147,1.5666,1.0269,77.7296,11.8474,2.3827,92.4226,0.2629,2.0067,4.6828,0.2323,2.744,9.1547,5.1919,1.4888
TNIP3,0.1337,0.705,0.4108,0.2159,0.1481,0,0,0.5258,3.01,0.9366,0.2323,0.2058,0,0.5934,0.0744
MAPK9,17.3758,14.8829,63.6707,20.512,19.252,39.7122,13.2032,15.7739,14.0466,14.985,25.5583,14.4061,18.3093,12.6089,17.1208
COL23A1,0.5346,2.3499,2.0539,0.3239,1.4809,18.5324,2.4006,0.5258,4.0133,0.9366,0.2323,0.2058,1.5258,1.4834,36.4747
BCAR1,14.7026,11.7497,9.2425,7.557,10.3665,13.2374,15.6038,10.5159,19.0633,7.4925,48.7931,9.6041,6.1031,11.8672,9.677
FAM160A2,12.0294,11.7497,7.1886,9.7162,7.4046,7.9424,10.8026,15.7739,14.0466,10.3022,11.6174,10.9761,16.0207,19.2842,10.4213
HERPUD1,40.098,68.1482,34.9162,56.1381,63.6797,71.482,166.8408,73.6114,156.5195,199.4879,155.6731,51.4503,55.6909,28.9263,49.1292
HOMER3,12.0294,10.9664,8.2156,8.6366,8.8855,5.295,14.4035,2.629,9.03,14.0484,25.5583,6.86,9.9176,5.1919,14.1433
RAD51,1.3366,2.3499,1.0269,2.1592,1.4809,1.059,1.2003,1.0516,1.0033,1.8731,0.9294,1.372,0.534,17.0591,0.7444
POLQ,0.2673,0.7833,0.5135,0.4318,0.4443,0.7942,0.12,0,0.2007,0.9366,0.4647,0.2744,0.0763,2.2251,0.2978
PIK3CB,26.732,8.6164,37.997,22.6711,22.2138,37.0648,26.4065,18.4029,13.0433,12.1753,39.4992,10.9761,19.8351,13.3506,29.7753
CYBA,86.8789,177.812,10.2695,53.9789,41.4659,15.8849,37.2091,23.6608,80.2664,119.88,4.647,27.4402,24.4125,15.5757,34.986
THOC3,4.0098,3.1333,5.1347,2.1592,4.4428,0.7942,3.6009,2.629,3.01,4.6828,1.8588,2.058,3.0516,6.6753,6.6994
HEBP2,84.2057,12.533,4.1078,43.1831,29.6185,31.7698,16.8041,57.8376,18.0599,21.5409,27.8818,9.6041,28.9898,10.3838,14.1433
