gene_symbol,adipose tissue,adrenal gland,brain,breast,colon,heart,kidney,liver,lung,lymph nodes,muscle,ovary,prostate,testis,thyroid gland
CCNC,33.415,25.8493,20.5389,44.2627,28.1375,21.1799,50.4123,78.8694,33.1099,25.2872,13.9409,17.8361,25.1753,16.3174,40.941
PRDM13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0
E2F3,13.366,14.0996,11.2964,8.6366,7.4046,15.8849,16.8041,7.8869,9.03,16.8581,6.9704,4.116,4.5773,5.1919,14.1433
PTP4A1,102.9181,43.8655,106.8024,100.4008,140.6877,76.777,100.8246,654.6161,143.4762,51.511,1133.8582,136.5149,217.4234,54.1441,117.6124
SIM1,5.3464,0,0,2.1592,0,0,18.0044,0.2629,0,0.0937,16.2644,0,0.7629,0.7417,0.4466
ASCC3,10.6928,9.3998,7.1886,8.6366,11.8474,13.2374,10.8026,15.7739,12.04,11.2388,13.9409,12.3481,12.9691,13.3506,9.677
HDGFL1,0.1337,0,0.1027,0,0,0,0,0,0,0,0,0,0,111.2549,0
BVES,9.3562,11.7497,9.2425,7.557,41.4659,135.0216,3.6009,1.3145,6.02,8.4291,218.4071,4.116,31.2785,13.3506,17.8652
COL9A1,0,0.1567,1.0269,0.108,0.4443,0.2647,0.12,0.2629,0.301,0.0937,0,0.0686,0.534,0.5934,0.0744
MED23,13.366,17.2329,10.2695,12.9549,8.8855,13.2374,20.405,10.5159,9.03,19.6678,11.6174,17.8361,16.0207,13.3506,14.8876
WASF1,13.366,7.8331,248.5211,8.6366,25.1757,2.6475,16.8041,5.258,7.0233,14.0484,4.647,30.1842,10.6804,83.0704,5.9551
GPLD1,4.0098,0.7833,5.1347,26.9895,0.4443,1.3237,0.8402,44.6927,0.4013,0.7493,0.4647,0.686,2.2887,1.4834,2.2331
ALDH5A1,9.3562,9.3998,65.7246,33.4669,7.4046,37.0648,13.2032,118.3041,7.0233,10.3022,16.2644,14.4061,11.4433,8.1587,28.2865
