gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,pancreas,placenta,prostate,salivary gland,skin,small intestine,spleen,stomach,testis,thymus gland,thyroid gland,trachea,urinary bladder,uterus
GABRA2,18.1823,1.581,72.8065,7.259,12.5721,12.1457,15.6648,16.7131,9.3456,8.0567,6.7357,4.8117,9.7411,9.9643,20.14,10.1135,16.8821,16.6108,13.8434,16.8214,7.3771,9.9322,3.8383,13.0263,12
ALDH1A2,20.6757,5.0944,13.004875,4.148,6.7743,4.9873,6.1102,1.3551,3.3803,3.6681,5.7908,21.3131,15.5339,2.2794,8.6508,3.3921,5.2175,3.519,5.9542,30.0772,4.3008,3.9482,16.2321,10.0532,15.1089
RAB27B,3.8102,3.894,4.3376,8.9009,5.7978,6.0142,1.3478,2.9684,1.8559,2.7511,4.7241,1.7121,4.3042,7.5547,8.2453,12.7832,10.1052,6.024,16.0167,21.8534,5.5851,0.8328,8.9364,5.1492,2.3826
AKAP4,17.1457,6.207,3.623175,6.0491,3.9059,3.2858,2.6358,2.7102,2.0547,10.3493,2.0725,11.8668,1.6828,2.0189,8.1101,1.4448,5.5174,3.0418,10.4198,291.0527,4.0619,9.1919,11.3097,8.2755,1.7433
HSF2BP,39.5584,55.4531,40.238125,28.575,50.6547,55.1542,39.9558,44.848,31.152,47.4233,37.3661,38.2573,38.1228,31.0001,58.5007,28.3932,28.8464,40.1402,36.7968,141.4145,36.9155,33.9298,46.7039,31.1405,37.1331
ZPBP,4.8748,4.1575,20.1087375,20.6247,4.3941,7.8624,22.9431,4.3235,17.233,20.3056,4.0231,43.0394,31.5856,17.8446,5.0823,20.7924,16.8521,31.0744,6.0137,841.1831,34.0482,24.3061,33.2846,24.7653,22.2566
LDHC,15.1846,13.4095,2.8683375,5.9915,1.5868,2.1123,2.516,3.4846,4.4408,2.2271,4.0231,14.7598,9.5792,8.8572,3.19,6.9727,3.6583,7.7537,5.5374,899.3246,1.1349,3.6397,6.446,6.9882,9.5884
KRT10,156.646,178.3829,179.027325,171.4882,134.6315,172.0342,115.3347,118.4116,149.7282,136.1783,217.5118,175.3459,197.8846,247.3063,420.6611,2423.9327,131.0384,145.5705,181.5029,280.2218,950.2045,160.6832,251.6462,196.1404,150.5665
CHRND,4.0903,2.635,4.2997875,3.5719,4.15,8.3905,6.2899,6.8401,1.1268,14.8034,2.743,4.0147,2.7184,4.103,12.1111,3.8318,4.7378,6.3819,8.4549,4.3132,6.8096,3.4547,6.8562,3.5554,2.9637
GJC2,5.4351,8.6078,12.01295,3.8887,2.8684,4.606,3.9237,5.0333,3.9768,5.4367,6.187,6.5533,7.5404,4.0378,5.5689,5.0568,5.1276,4.4435,12.5931,5.0033,7.407,3.794,4.6587,4.1684,6.1017
ATP2B3,8.162,5.5824,22.5131625,2.6309,5.2689,5.3198,3.714,3.4201,3.6454,4.1266,3.5964,17.0426,5.2643,9.0091,6.3619,5.3185,7.6164,3.7377,6.4305,3.6231,4.6592,4.9352,11.5051,4.9653,3.293
HGFAC,4.2024,3.3963,3.6136625,3.111,3.8449,4.9873,3.5942,480.2283,2.5187,5.5022,3.2916,21.6673,3.5599,2.6702,11.3541,3.1408,4.0781,4.7715,7.3832,28.1794,4.0022,3.4547,3.1644,3.1876,3.0218
KITLG,4.0156,3.7671,2.95675,7.355,16.1729,4.7722,12.0407,2.7748,6.9595,2.7947,4.2263,8.541,4.8543,5.1884,2.433,3.7481,5.6973,2.9822,7.5618,1.6486,3.2455,2.2825,5.0786,8.2755,5.1332
CSRP2,24.0376,16.8057,76.05245,78.8404,42.3546,66.1264,145.2666,54.0757,55.0793,52.205,68.2404,50.7736,199.5135,89.1905,58.6629,78.8351,80.2123,29.4044,58.1424,87.9887,71.3818,85.4414,55.4352,126.2785,178.2856
NKX3-2,6.5557,5.6214,6.7868375,3.2838,51.265,6.4542,3.115,5.1624,3.1152,3.2751,4.3279,3.2471,2.8479,5.0147,12.6517,3.3921,7.5564,6.3819,8.0977,4.3707,4.0619,4.9969,4.5122,1.839,5.23
CRISP1,3.2779,10.2181,6.4924875,2.362,2.5632,19.9787,6.7392,9.1309,5.2693,5.6987,19.6279,6.5533,6.4077,4.396,11.0297,15.61,5.8173,5.2785,4.7931,62.1959,13.8582,4.8119,13.3314,38.8337,6.0726
GIF,12.5511,10.5987,6.0394625,5.7611,12.7552,10.9135,3.1749,4.7107,15.6423,4.1921,4.5108,5.0774,12.5566,11.3971,27.2499,1.8217,8.6359,21.6507,3579.0497,13.7446,22.221,17.0883,13.6537,8.3981,2.5569
GLI2,13.2235,24.5938,16.072625,13.5385,13.2129,16.2529,14.9759,28.7156,16.6365,23.4497,16.3058,25.2982,11.0355,10.5179,35.8466,11.15,23.1791,10.6762,13.7839,24.0675,9.7366,17.736,20.0118,7.3867,13.8305
SLC30A3,5.8273,9.3105,27.7472375,6.2796,4.5772,9.3879,6.0503,9.0987,4.0431,7.0742,5.7299,7.6751,4.7249,5.2752,9.4618,5.4022,6.8368,5.3083,5.1801,19.438,7.1083,4.195,5.6256,5.2105,4.9976
GRIN2D,2.4654,9.1348,4.4744875,1.0946,2.6243,8.3905,2.2763,2.3876,6.2304,7.4672,6.7661,4.546,2.9773,2.3445,19.2479,1.6961,1.6192,3.2208,1.6076,5.3483,10.5729,1.1104,1.2306,1.4099,2.0339
TNFRSF11A,0.8405,2.8107,10.697025,17.5713,32.7119,3.2271,5.5711,3.6782,5.8327,6.4847,11.6426,4.546,0.7767,1.6933,43.3079,5.4022,85.8796,0.7754,2.7389,8.7989,15.471,2.8995,17.9901,4.7814,4.3583
SLC16A6,38.774,4.4503,19.06045,18.7811,2.8074,3.8725,2.4561,9.2922,21.4087,3.6681,12.7398,2.7748,10.4854,2.2794,20.0589,16.2067,8.576,21.3525,10.1221,27.0292,2.9867,10.364,4.5122,2.0842,2.092
CDKN2A,30.2198,29.8248,23.9251625,18.7619,14.3216,18.5608,14.7563,18.2834,18.404,17.9475,11.5613,28.0239,20.8197,11.5708,25.8622,18.0703,17.7716,25.9252,24.7098,14.4156,16.4865,19.4119,22.7366,15.8359,13.7336
ST13,289.684,183.8677,286.194525,379.0023,269.9548,236.5372,291.5716,365.9466,303.1461,657.0051,869.2954,338.0771,302.2638,378.5141,167.9689,292.7472,202.6247,207.5205,248.8842,250.4322,229.6961,312.1128,263.288,456.4009,335.2636
MASP2,17.6687,13.4875,13.871475,12.3863,19.0616,15.0012,10.7228,156.1613,17.6528,10.8733,22.188,15.7634,12.1682,13.6331,24.7808,14.3641,11.9744,17.0581,17.5846,22.0259,22.3603,14.1888,34.4761,16.1015,16.1162
E2F2,2.9136,17.2156,3.76075,3.8023,4.5162,7.569,3.4145,3.6137,2.7175,1.6375,3.5355,3.1881,5.0485,2.9958,10.6512,2.3242,5.8772,3.0418,1.7267,9.8915,4.7787,5.3671,19.6895,2.5746,4.1259
SLC6A9,53.2862,8.315,20.3475125,7.1437,5.0655,12.6737,5.0918,3.6782,1.9221,15.7204,7.3757,5.4906,3.8835,2.3445,12.0029,33.1045,20.7502,14.4338,7.2641,3.1055,4.3008,4.3183,16.2321,4.904,14.2954
THRB,42.9763,49.7146,39.1886125,66.9438,46.8098,77.3919,52.1163,54.0112,41.4918,45.1308,29.9904,55.969,41.5532,36.4707,52.283,49.0599,41.8603,51.6515,32.5693,42.6141,41.0371,31.1537,50.3956,40.3356,51.8934
VPS50,9.3013,24.1839,8.8374375,2.0164,8.9103,9.5053,6.0503,5.485,13.3887,5.5022,11.0331,15.9996,6.343,3.3214,14.5982,14.1338,29.0863,14.732,3.2748,20.9908,16.367,14.3122,24.6704,5.6396,19.7579
SLC6A11,1.5129,3.1035,2.3396,1.9012,2.4412,2.2883,1.857,1.2261,8.9479,2.2271,1.7068,14.1694,3.8188,0.9118,1.2976,1.3192,1.3794,3.1611,7.2045,5.6934,1.1947,1.9741,1.8166,8.0303,11.7966
